127.0.0.1 - - [21/May/2021:18:10:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:24 +0900] "GET /Web/memberView/main.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:24 +0900] "GET /Web/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:24 +0900] "GET /Web/css/custom.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:24 +0900] "GET /Web/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:24 +0900] "GET /Web/images/banner3.jpg HTTP/1.1" 200 25425
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2021:18:10:27 +0900] "GET /Web/BoardList.do?cmd=BoardList&page=1 HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [21/May/2021:18:12:27 +0900] "GET /board HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [21/May/2021:18:12:34 +0900] "GET /board HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [21/May/2021:18:12:36 +0900] "GET /board HTTP/1.1" 404 812
